COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,SITUACAO,NOM_TIPO_SEGLOGR,NOM_TITULO_SEGLOGR,NOM_SEGLOGR,NUM_ENDERECO,DSC_MODIFICADOR,NOM_COMP_ELEM1,VAL_COMP_ELEM1,NOM_COMP_ELEM2,VAL_COMP_ELEM2,NOM_COMP_ELEM3,VAL_COMP_ELEM3,NOM_COMP_ELEM4,VAL_COMP_ELEM4,NOM_COMP_ELEM5,VAL_COMP_ELEM5,LATITUDE,LONGITUDE,ALTITUDE,DSC_LOCALIDADE,COD_ESPECIE,CEP
31,9006,5,0,2,ESTRADA,,CAJU A ALMORREIMAS,,SN,,,,,,,,,,,-20.186801666666668,-44.17928330555555,789.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,CAJU A ALMORREIMAS,,SN,,,,,,,,,,,-20.199056666666667,-44.17630997222222,851.0,CAJU,3,35460000
31,9006,5,0,2,ESTRADA,,EIXO QUEBRADO,,SN,,,,,,,,,,,-20.221823305555553,-44.19375333333333,824.0,EIXO QUEBRADO,3,35460000
31,9006,5,0,2,ESTRADA,,EIXO QUEBRADO,,SN,,,,,,,,,,,-20.227465,-44.180146638888885,969.0,EIXO QUEBRADO,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.184973305555555,-44.17301830555555,758.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.17922663888889,-44.170716638888884,765.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.198598305555556,-44.16909666666666,843.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.16661497222222,-44.16923330555555,789.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.200293305555554,-44.15312163888889,752.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,,SN,,,,,,,,,,,-20.185808305555557,-44.17104330555555,775.0,PONTE DAS ALMORREIMAS,3,35460000
31,9006,5,0,2,ESTRADA,,PONTE DAS ALMORREIMAS,3.0,,,,,,,,,,,,-20.180388305555557,-44.162571638888885,739.0,PONTE DAS ALMORREIMAS,3,35460000
